"id","retweetId","Content","Original_post_content","frame","topic"
"1043055534897856512",1043187261964255232,"@fischerdata @GretaThunberg great!!!! thankyou!!!!","Schools for climate die Schüler d Elisabeth Stiftschule Hermsdorf #Berlin in Solidarität mit @GretaThunberg stehen im #climatestrike vor dem Reichstag #FridaysForFuture kommt vorbei 10 -12. https://t.co/5jdyTu8L9j","Diagnostic","Zukunft der Kinder"
"1043055534897856512",1043491709718614016,"@fischerdata @GretaThunberg thank you
    
    @GretaThunberg 
    SWEDEN
    suedé
    SCHWEDEN","Schools for climate die Schüler d Elisabeth Stiftschule Hermsdorf #Berlin in Solidarität mit @GretaThunberg stehen im #climatestrike vor dem Reichstag #FridaysForFuture kommt vorbei 10 -12. https://t.co/5jdyTu8L9j","Diagnostic","Zukunft der Kinder"
"1073303620299448320",1073312957851947008,"@KathrinAnna Hahahahahahahahaha... selten so gelacht, weniger das Rauchen was im Wald so wächst wär angesagt","Bin dafür die Entscheidungen der deutschen &amp; internationalen #Klimapolitik ab jetzt von den Schüler*innen bestimmen zu lassen, die morgen in Streik treten. Anders als so manch Politiker in Führungsposition, haben sie verstanden was auf dem Spiel steht: Alles. #FridaysForFuture","Motivational","Euphorie"
"1073303620299448320",1073461648223059968,"@AnnaLausitz @KathrinAnna Dann ist absofort jede Gesellschaft Menschenrechtswidrig, wenn alltäglicher Umgang mit Kindern menschenrechtswidrig ist. Und die Streiks wurden von den SchülerInnen selbst initiiert und organisiert. Auch wenn sie es Kindern nicht zutrauen, wir haben Meinungen!","Bin dafür die Entscheidungen der deutschen &amp; internationalen #Klimapolitik ab jetzt von den Schüler*innen bestimmen zu lassen, die morgen in Streik treten. Anders als so manch Politiker in Führungsposition, haben sie verstanden was auf dem Spiel steht: Alles. #FridaysForFuture","Motivational","Euphorie"
"1073303620299448320",1073309205975715840,"@KathrinAnna Schüler zum Schwänzen animieren? Du musst damals viel gefehlt haben:(","Bin dafür die Entscheidungen der deutschen &amp; internationalen #Klimapolitik ab jetzt von den Schüler*innen bestimmen zu lassen, die morgen in Streik treten. Anders als so manch Politiker in Führungsposition, haben sie verstanden was auf dem Spiel steht: Alles. #FridaysForFuture","Motivational","Euphorie"
"1073303620299448320",1073331799282061312,"@KathrinAnna Die UN hat die Indoktrination von Kindern als Menschenrechtsverletzung deklariert.","Bin dafür die Entscheidungen der deutschen &amp; internationalen #Klimapolitik ab jetzt von den Schüler*innen bestimmen zu lassen, die morgen in Streik treten. Anders als so manch Politiker in Führungsposition, haben sie verstanden was auf dem Spiel steht: Alles. #FridaysForFuture","Motivational","Euphorie"
"1073483569664811008",1073481624963051520,"https://t.co/i9tmECdKwI","Der #Schulstreik in zahlreichen Städten in Deutschland hat begonnen! Schüler*innen stehen auf für eine Zukunft ohne Klimachaos. Live-Stream bei #FridaysForFuture jetzt! #schoolstrike4climate https://t.co/WbFHqHNSNp","Motivational","Euphorie"
"1073541129965092864",1073557335975575552,"@BUNDjugend @greenpeace_de Ich fände den Aspekt mit weniger Plastik in den Ozeanen noch wichtig.","#FridaysForFuture: Heute streiken Schüler*innen in 14 deutschen Städten für #Klimaschutz, #Kohleausstieg und ihre #Zukunft! <U+0001F389><U+0001F60D> https://t.co/SCLQgFrcLx","Motivational","Euphorie"
"1073541129965092864",1073550001731723264,"@BUNDjugend https://t.co/ZeZlCftlVo","#FridaysForFuture: Heute streiken Schüler*innen in 14 deutschen Städten für #Klimaschutz, #Kohleausstieg und ihre #Zukunft! <U+0001F389><U+0001F60D> https://t.co/SCLQgFrcLx","Motivational","Euphorie"
"1073634265118715904",1074251189171249152,"@lgbeutin @Linksfraktion @ndaktuell Es gibt keine #Heißzeit! Die Verblödung des Volkes schreitet weiter voran.","#Klimakonferenz geht in Verlängerung! Zu vielen Regierungen ist Kohle, Öl, Gas wichtiger als #Klima. #schulstreik hat verstanden, dass wir handeln müssen, nächste #Heisszeit kommt bestimmt. Mein letzter Blog von der #COP24 bei @ndaktuell https://t.co/WxYv3InbwO #FridaysForFuture","","Regionale Demos"
"1073634265118715904",1073663531961212928,"@lgbeutin @ndaktuell Kanns kaum erwarten...Habe eben meine Zimmertemperatur um 1,5° erhöht...Wie warm ist es jetzt?","#Klimakonferenz geht in Verlängerung! Zu vielen Regierungen ist Kohle, Öl, Gas wichtiger als #Klima. #schulstreik hat verstanden, dass wir handeln müssen, nächste #Heisszeit kommt bestimmt. Mein letzter Blog von der #COP24 bei @ndaktuell https://t.co/WxYv3InbwO #FridaysForFuture","","Regionale Demos"
